"날짜","종가","시가","고가","저가","변동 %"
"2023- 10- 01","4.047","3.875","4.099","3.875","4.09%"
"2023- 09- 01","3.888","3.695","3.957","3.676","4.88%"
"2023- 08- 01","3.707","3.646","3.822","3.625","0.73%"
"2023- 07- 01","3.680","3.673","3.792","3.542","0.16%"
"2023- 06- 01","3.674","3.440","3.695","3.427","6.15%"
"2023- 05- 01","3.461","3.345","3.588","3.196","5.23%"
"2023- 04- 01","3.289","3.294","3.396","3.168","0.77%"
"2023- 03- 01","3.264","3.823","3.918","3.116","-13.99%"
"2023- 02- 01","3.795","3.319","3.800","3.100","13.83%"
"2023- 01- 01","3.334","3.772","3.799","3.231","-10.50%"
"2022- 12- 01","3.725","3.630","3.754","3.526","1.61%"
"2022- 11- 01","3.666","4.196","4.206","3.615","-12.49%"
"2022- 10- 01","4.189","4.136","4.500","4.019","-0.59%"
"2022- 09- 01","4.214","3.751","4.507","3.543","14.23%"
"2022- 08- 01","3.689","3.056","3.732","2.992","22.56%"
"2022- 07- 01","3.010","3.501","3.501","2.970","-15.19%"
"2022- 06- 01","3.549","3.063","3.795","3.050","17.36%"
"2022- 05- 01","3.024","3.041","3.217","2.865","2.23%"
"2022- 04- 01","2.958","2.680","3.221","2.669","11.04%"
"2022- 03- 01","2.664","2.190","2.803","2.177","18.82%"
"2022- 02- 01","2.242","2.150","2.385","2.148","2.47%"
"2022- 01- 01","2.188","1.814","2.235","1.814","21.89%"
"2021- 12- 01","1.795","1.827","1.901","1.707","-0.50%"
"2021- 11- 01","1.804","2.118","2.138","1.777","-14.18%"
"2021- 10- 01","2.102","1.583","2.165","1.579","31.87%"
"2021- 09- 01","1.594","1.400","1.653","1.400","14.27%"
"2021- 08- 01","1.395","1.432","1.460","1.357","-1.55%"
"2021- 07- 01","1.417","1.448","1.503","1.352","-2.14%"
"2021- 06- 01","1.448","1.221","1.486","1.129","17.92%"
"2021- 05- 01","1.228","1.148","1.234","1.091","7.62%"
"2021- 04- 01","1.141","1.127","1.206","1.087","0.71%"
"2021- 03- 01","1.133","1.017","1.304","1.008","11.08%"
"2021- 02- 01","1.020","0.992","1.064","0.969","5.05%"
"2021- 01- 01","0.971","0.976","1.011","0.929","0.10%"
"2020- 12- 01","0.970","0.983","1.002","0.932","-1.42%"
"2020- 11- 01","0.984","0.948","0.997","0.925","5.13%"
"2020- 10- 01","0.936","0.864","0.938","0.864","10.64%"
"2020- 09- 01","0.846","0.950","0.992","0.833","-10.00%"
"2020- 08- 01","0.940","0.793","0.945","0.788","18.09%"
"2020- 07- 01","0.796","0.836","0.868","0.785","-5.24%"
"2020- 06- 01","0.840","0.827","0.906","0.809","1.45%"
"2020- 05- 01","0.828","1.008","1.008","0.760","-17.61%"
"2020- 04- 01","1.005","1.054","1.098","0.964","-6.07%"
"2020- 03- 01","1.070","1.072","1.303","0.998","-3.08%"
"2020- 02- 01","1.104","1.280","1.362","1.104","-15.01%"
"2020- 01- 01","1.299","1.365","1.471","1.269","-4.13%"
"2019- 12- 01","1.355","1.404","1.462","1.353","-2.10%"
"2019- 11- 01","1.384","1.444","1.660","1.380","-5.66%"
"2019- 10- 01","1.467","1.287","1.526","1.208","13.11%"
"2019- 09- 01","1.297","1.192","1.349","1.190","11.33%"
"2019- 08- 01","1.165","1.307","1.315","1.083","-9.97%"
"2019- 07- 01","1.294","1.486","1.487","1.288","-12.09%"
"2019- 06- 01","1.472","1.583","1.583","1.410","-7.25%"
"2019- 05- 01","1.587","1.721","1.745","1.581","-6.65%"
"2019- 04- 01","1.700","1.705","1.781","1.697","0.59%"
"2019- 03- 01","1.690","1.839","1.841","1.675","-6.78%"
"2019- 02- 01","1.813","1.810","1.823","1.777","0.17%"
"2019- 01- 01","1.810","1.810","1.828","1.759","-0.71%"
"2018- 12- 01","1.823","1.913","1.930","1.764","-4.00%"
"2018- 11- 01","1.899","1.953","1.999","1.877","-2.06%"
"2018- 10- 01","1.939","2.015","2.102","1.887","-3.39%"
"2018- 09- 01","2.007","1.920","2.050","1.883","4.53%"
"2018- 08- 01","1.920","2.115","2.129","1.902","-9.35%"
"2018- 07- 01","2.118","2.128","2.149","2.056","-0.28%"
"2018- 06- 01","2.124","2.195","2.253","2.106","-3.28%"
"2018- 05- 01","2.196","2.229","2.328","2.140","-0.90%"
"2018- 04- 01","2.216","2.224","2.248","2.142","0.00%"
"2018- 03- 01","2.216","2.250","2.340","2.204","-2.21%"
"2018- 02- 01","2.266","2.266","2.336","2.235","-0.35%"
"2018- 01- 01","2.274","2.124","2.334","2.095","6.56%"
"2017- 12- 01","2.134","2.080","2.166","2.049","2.84%"
"2017- 11- 01","2.075","2.169","2.221","2.069","-3.98%"
"2017- 10- 01","2.161","1.899","2.274","1.895","14.40%"
"2017- 09- 01","1.889","1.749","1.921","1.733","8.19%"
"2017- 08- 01","1.746","1.732","1.848","1.723","1.22%"
"2017- 07- 01","1.725","1.714","1.786","1.704","1.59%"
"2017- 06- 01","1.698","1.667","1.723","1.615","2.60%"
"2017- 05- 01","1.655","1.686","1.739","1.651","-1.43%"
"2017- 04- 01","1.679","1.675","1.723","1.639","1.45%"
"2017- 03- 01","1.655","1.729","1.811","1.647","-1.14%"
"2017- 02- 01","1.674","1.673","1.698","1.628","-0.06%"
"2017- 01- 01","1.675","1.653","1.700","1.590","2.13%"
"2016- 12- 01","1.640","1.794","1.796","1.616","-4.21%"
"2016- 11- 01","1.712","1.444","1.886","1.346","19.22%"
"2016- 10- 01","1.436","1.283","1.452","1.270","15.06%"
"2016- 09- 01","1.248","1.311","1.361","1.245","-4.66%"
"2016- 08- 01","1.309","1.209","1.309","1.205","7.30%"
"2016- 07- 01","1.220","1.236","1.238","1.197","-2.09%"
"2016- 06- 01","1.246","1.420","1.446","1.205","-16.88%"
"2016- 05- 01","1.499","1.452","1.507","1.404","3.09%"
"2016- 04- 01","1.454","1.449","1.540","1.434","0.90%"
"2016- 03- 01","1.441","1.469","1.557","1.432","-1.03%"
"2016- 02- 01","1.456","1.543","1.547","1.410","-6.85%"
"2016- 01- 01","1.563","1.670","1.677","1.556","-5.84%"
"2015- 12- 01","1.660","1.790","1.798","1.640","-7.37%"
"2015- 11- 01","1.792","1.651","1.813","1.651","8.15%"
"2015- 10- 01","1.657","1.581","1.681","1.569","5.74%"
"2015- 09- 01","1.567","1.736","1.736","1.567","-9.84%"
"2015- 08- 01","1.738","1.759","1.806","1.697","-1.92%"
"2015- 07- 01","1.772","1.806","1.836","1.681","-0.62%"
"2015- 06- 01","1.783","1.745","1.829","1.709","1.77%"
"2015- 05- 01","1.752","1.885","1.990","1.747","-4.73%"
"2015- 04- 01","1.839","1.728","1.875","1.688","6.79%"
"2015- 03- 01","1.722","1.990","2.010","1.711","-15.26%"
"2015- 02- 01","2.032","1.963","2.113","1.922","3.20%"
"2015- 01- 01","1.969","2.124","2.140","1.965","-6.01%"
"2014- 12- 01","2.095","2.064","2.233","2.060","0.82%"
"2014- 11- 01","2.078","2.138","2.234","2.062","-2.53%"
"2014- 10- 01","2.132","2.280","2.300","2.128","-7.51%"
"2014- 09- 01","2.305","2.504","2.554","2.300","-8.39%"
"2014- 08- 01","2.516","2.512","2.589","2.489","-0.12%"
"2014- 07- 01","2.519","2.687","2.687","2.451","-5.90%"
"2014- 06- 01","2.677","2.826","2.852","2.663","-5.17%"
"2014- 05- 01","2.823","2.868","2.868","2.805","-1.88%"
"2014- 04- 01","2.877","2.870","2.911","2.835","0.21%"
"2014- 03- 01","2.871","2.850","2.925","2.824","0.74%"
"2014- 02- 01","2.850","2.870","2.890","2.830","-1.04%"
"2014- 01- 01","2.880","2.875","2.940","2.830","1.23%"
"2013- 12- 01","2.845","3.010","3.050","2.800","-4.85%"
"2013- 11- 01","2.990","2.815","3.010","2.740","6.22%"
"2013- 10- 01","2.815","2.810","2.920","2.740","0.18%"
"2013- 09- 01","2.810","2.920","3.040","2.770","-2.60%"
"2013- 08- 01","2.885","2.920","3.010","2.800","-1.87%"
"2013- 07- 01","2.940","2.870","3.100","2.740","1.73%"
"2013- 06- 01","2.890","2.780","3.120","2.740","3.96%"
"2013- 05- 01","2.780","2.490","2.830","2.420","11.20%"
"2013- 04- 01","2.500","2.490","2.780","2.425","-0.99%"
"2013- 03- 01","2.525","2.630","2.695","2.430","-3.81%"
"2013- 02- 01","2.625","2.760","2.785","2.615","-4.89%"
"2013- 01- 01","2.760","2.850","2.850","2.700","-2.65%"
"2012- 12- 01","2.835","2.840","2.900","2.780","-0.18%"
"2012- 11- 01","2.840","2.770","3.280","2.740","2.53%"
"2012- 10- 01","2.770","2.785","2.860","2.610","-0.72%"
"2012- 09- 01","2.790","2.765","2.935","2.720","1.09%"
"2012- 08- 01","2.760","2.820","2.980","2.750","-3.83%"
"2012- 07- 01","2.870","3.300","3.330","2.760","-13.03%"
"2012- 06- 01","3.300","3.310","3.340","3.240","-0.30%"
"2012- 05- 01","3.310","3.450","3.670","2.858","-4.06%"
"2012- 04- 01","3.450","3.560","3.585","3.430","-2.82%"
"2012- 03- 01","3.550","3.450","3.655","3.221","3.50%"
"2012- 02- 01","3.430","3.380","3.480","3.115","1.63%"
"2012- 01- 01","3.375","3.320","3.420","3.310","1.66%"
"2011- 12- 01","3.320","3.370","3.425","3.300","-1.13%"
"2011- 11- 01","3.358","3.510","3.515","3.320","-4.47%"
"2011- 10- 01","3.515","3.550","3.660","3.370","0.43%"
"2011- 09- 01","3.500","3.490","3.580","3.290","0.43%"
"2011- 08- 01","3.485","3.850","4.030","3.049","-9.60%"
"2011- 07- 01","3.855","3.770","4.020","3.300","1.72%"
"2011- 06- 01","3.790","3.600","4.500","3.140","6.76%"
"2011- 05- 01","3.550","3.780","3.980","3.265","-5.84%"
"2011- 04- 01","3.770","3.705","4.750","3.650","1.62%"
"2011- 03- 01","3.710","3.815","4.720","3.060","-2.62%"
"2011- 02- 01","3.810","4.000","4.950","3.380","-4.03%"
"2011- 01- 01","3.970","3.400","4.640","3.360","17.46%"
"2010- 12- 01","3.380","3.200","4.330","2.895","5.96%"
"2010- 11- 01","3.190","3.300","4.650","3.080","-1.24%"
"2010- 10- 01","3.230","3.320","4.130","3.010","-3.58%"
"2010- 09- 01","3.350","3.540","4.630","3.185","-5.63%"
"2010- 08- 01","3.550","3.810","4.840","3.365","-6.95%"
"2010- 07- 01","3.815","3.880","4.880","3.725","-1.29%"
"2010- 06- 01","3.865","3.580","4.920","3.500","7.96%"
"2010- 05- 01","3.580","3.620","4.830","3.560","-1.38%"
"2010- 04- 01","3.630","3.880","4.920","3.100","-6.80%"
"2010- 03- 01","3.895","4.100","4.985","3.280","-5.23%"
"2010- 02- 01","4.110","4.280","4.840","3.880","-4.75%"
"2010- 01- 01","4.315","4.470","4.805","4.020","-2.60%"
"2009- 12- 01","4.430","4.095","4.840","4.030","9.25%"
"2009- 11- 01","4.055","4.520","4.920","4.050","-8.88%"
"2009- 10- 01","4.450","4.400","4.990","4.210","1.53%"
"2009- 09- 01","4.383","4.350","4.995","3.450","0.53%"
"2009- 08- 01","4.360","4.300","5.270","4.230","3.69%"
"2009- 07- 01","4.205","4.070","4.210","3.950","2.44%"
"2009- 06- 01","4.105","3.815","4.260","3.815","5.80%"
"2009- 05- 01","3.880","3.590","3.920","3.590","10.23%"
"2009- 04- 01","3.520","3.890","3.970","3.510","-7.85%"
"2009- 03- 01","3.820","3.870","3.870","3.490","-1.04%"
"2009- 02- 01","3.860","3.760","3.970","3.610","11.56%"
"2009- 01- 01","3.460","3.380","3.910","3.310","-1.70%"
"2008- 12- 01","3.520","4.695","4.695","3.520","-27.79%"
"2008- 11- 01","4.875","4.710","5.360","4.530","11.05%"
"2008- 10- 01","4.390","5.750","5.770","4.390","-24.70%"
"2008- 09- 01","5.830","5.890","6.010","5.490","1.22%"
"2008- 08- 01","5.760","5.720","5.880","5.660","-1.54%"
"2008- 07- 01","5.850","5.870","6.170","5.740","-0.85%"
"2008- 06- 01","5.900","5.510","5.900","5.450","8.06%"
"2008- 05- 01","5.460","4.890","5.460","4.890","11.20%"
"2008- 04- 01","4.910","5.080","5.140","4.910","-3.73%"
"2008- 03- 01","5.100","4.910","5.350","4.910","2.82%"
"2008- 02- 01","4.960","5.040","5.130","4.960","-1.59%"
"2008- 01- 01","5.040","5.790","5.910","5.040","-12.95%"
"2007- 12- 01","5.790","5.760","6.070","5.760","-0.34%"
"2007- 11- 01","5.810","5.430","5.890","5.310","7.00%"
"2007- 10- 01","5.430","5.470","5.510","5.310","-0.73%"
"2007- 09- 01","5.470","5.470","5.470","5.470","0.92%"
"2007- 08- 01","5.420","5.420","5.420","5.420","3.83%"
"2007- 07- 01","5.220","5.220","5.220","5.220","-0.95%"
"2007- 06- 01","5.270","5.270","5.270","5.270","1.74%"
"2007- 05- 01","5.180","5.180","5.180","5.180","2.57%"
"2007- 04- 01","5.050","5.050","5.050","5.050","6.54%"
"2007- 03- 01","4.740","4.740","4.740","4.740","-2.47%"
"2007- 02- 01","4.860","4.860","4.860","4.860","-2.99%"
"2007- 01- 01","5.010","5.010","5.010","5.010","1.83%"
"2006- 12- 01","4.920","4.920","4.920","4.920","2.29%"
"2006- 11- 01","4.810","4.810","4.810","4.810","2.34%"
"2006- 10- 01","4.700","4.700","4.700","4.700","3.07%"
"2006- 09- 01","4.560","4.560","4.560","4.560","-4.20%"
"2006- 08- 01","4.760","4.760","4.760","4.760","-1.45%"
"2006- 07- 01","4.830","4.830","4.830","4.830","-2.23%"
"2006- 06- 01","4.940","4.940","4.940","4.940","4.44%"
"2006- 05- 01","4.730","4.730","4.730","4.730","-2.07%"
"2006- 04- 01","4.830","4.830","4.830","4.830","-1.83%"
"2006- 03- 01","4.920","4.920","4.920","4.920","-0.40%"
"2006- 02- 01","4.940","4.940","4.940","4.940","0.41%"
"2006- 01- 01","4.920","4.920","4.920","4.920","-3.34%"
"2005- 12- 01","5.090","5.090","5.090","5.090","0.20%"
"2005- 11- 01","5.080","5.080","5.080","5.080","2.42%"
"2005- 10- 01","4.960","4.960","4.960","4.960","7.59%"
"2005- 09- 01","4.610","4.610","4.610","4.610","9.24%"
"2005- 08- 01","4.220","4.220","4.220","4.220","-0.24%"
"2005- 07- 01","4.230","4.230","4.230","4.230","6.82%"
"2005- 06- 01","3.960","3.960","3.960","3.960","7.61%"
"2005- 05- 01","3.680","3.680","3.680","3.680","-2.13%"
"2005- 04- 01","3.760","3.760","3.760","3.760","-3.59%"
"2005- 03- 01","3.900","3.900","3.900","3.900","-6.25%"
"2005- 02- 01","4.160","4.160","4.160","4.160","1.46%"
"2005- 01- 01","4.100","4.100","4.100","4.100","25.38%"
"2004- 12- 01","3.270","3.270","3.270","3.270","-1.21%"
"2004- 11- 01","3.310","3.310","3.310","3.310","-4.89%"
"2004- 10- 01","3.480","3.480","3.480","3.480","-2.25%"
"2004- 09- 01","3.560","3.560","3.560","3.560","0.00%"
"2004- 08- 01","3.560","3.560","3.560","3.560","-13.38%"
"2004- 07- 01","4.110","4.110","4.110","4.110","-3.75%"
"2004- 06- 01","4.270","4.270","4.270","4.270","1.18%"
